amp_id,length,ab_proba,mean_plddt,ptm,mean_pae,confidence
AMP_01619,35,0.9666,88.58771428571428,0.53,,Confident
AMP_02987,26,0.938,88.55038461538462,0.36,,Confident
AMP_02857,27,0.9465,88.50333333333334,0.39,,Confident
AMP_01643,35,0.9475,88.47657142857143,0.49,,Confident
AMP_01994,33,0.9665,88.46151515151516,0.47,,Confident
AMP_02719,28,0.9482,88.31464285714286,0.41,,Confident
AMP_01618,35,0.9595,88.25485714285715,0.51,,Confident
AMP_01620,35,0.9571,88.11371428571428,0.54,,Confident
AMP_02238,31,0.9551,87.43161290322581,0.45,,Confident
AMP_01814,34,0.9579,87.10558823529412,0.47,,Confident
AMP_02116,32,0.9664,86.8875,0.45,,Confident
AMP_01658,35,0.9565,86.42857142857143,0.5,,Confident
AMP_01416,36,0.9398,86.41777777777777,0.5,,Confident
AMP_02106,32,0.9608,86.353125,0.48,,Confident
AMP_01425,36,0.954,86.13277777777778,0.47,,Confident
AMP_02854,27,0.941,85.61925925925927,0.3,,Confident
AMP_01420,36,0.9501,85.3413888888889,0.53,,Confident
AMP_00940,40,0.9658,85.33399999999999,0.45,,Confident
AMP_10076,16,0.9594,84.10187499999999,0.03,,Confident
AMP_02676,28,0.9476,83.45857142857143,0.29,,Confident
AMP_02531,29,0.938,83.2293103448276,0.32,,Confident
AMP_09246,18,0.9432,82.88888888888889,0.03,,Confident
AMP_01005,39,0.9555,82.83692307692307,0.35,,Confident
AMP_01422,36,0.9388,82.40666666666667,0.32,,Confident
AMP_02679,28,0.9461,82.33928571428571,0.29,,Confident
AMP_02681,28,0.9489,81.97714285714287,0.25,,Confident
AMP_03620,22,0.9381,81.67272727272729,0.15,,Confident
AMP_01764,34,0.9529,81.01058823529412,0.44,,Confident
AMP_01947,33,0.9479,80.98030303030303,0.42,,Confident
AMP_09752,17,0.9499,80.85941176470588,0.03,,Confident
AMP_01761,34,0.9472,80.30205882352939,0.45,,Confident
AMP_01010,39,0.97,79.37128205128207,0.33,,Confident
AMP_02704,28,0.9429,79.35857142857144,0.31,,Confident
AMP_10065,16,0.9408,78.155,0.03,,Confident
AMP_01567,35,0.9386,77.75771428571429,0.43,,Confident
AMP_10386,15,0.9629,77.65,0.03,,Confident
AMP_10072,16,0.9396,77.531875,0.03,,Confident
AMP_02591,29,0.941,77.47241379310346,0.21,,Confident
AMP_01286,37,0.9436,76.60108108108109,0.46,,Confident
AMP_01549,35,0.9432,76.14142857142856,0.42,,Confident
AMP_10460,15,0.9629,75.79133333333334,0.03,,Confident
AMP_09729,17,0.9479,73.65823529411765,0.03,,Confident
AMP_10073,16,0.967,72.989375,0.03,,Confident
AMP_03969,21,0.9416,71.17714285714285,0.1,,Confident
AMP_01434,36,0.9611,70.88083333333333,0.29,,Confident
AMP_09381,18,0.9427,70.76777777777778,0.02,,Confident
AMP_09380,18,0.9498,70.57555555555557,0.02,,Confident
AMP_09379,18,0.9498,70.22833333333334,0.02,,Confident
AMP_02085,32,0.9482,69.824375,0.38,,Low
AMP_02555,29,0.9428,68.16689655172415,0.19,,Low
AMP_02190,31,0.971,67.62709677419356,0.22,,Low
AMP_09305,18,0.9424,67.52055555555556,0.02,,Low
AMP_03966,21,0.9416,67.16761904761904,0.09,,Low
AMP_01928,33,0.9461,66.11393939393939,0.31,,Low
AMP_01946,33,0.939,62.522424242424236,0.29,,Low
AMP_01362,36,0.9494,54.56333333333334,0.21,,Low
AMP_01958,33,0.9383,53.26545454545454,0.21,,Low
AMP_01742,34,0.9486,50.748823529411766,0.24,,Low
